time,cmd_speed,cmd_steer,x,y,yaw,v_actual,yaw_rate
5255.753,2.659316062927246,0.10390590131282806,19.310166170712865,-2.18586238573402,-0.2937875216629796,1.7862679627222782,0.2643169770561771
5255.753,2.659316062927246,0.10390590131282806,19.311875069677022,-2.186379109034278,-0.2935227830121055,1.7869208535945265,0.26379942809151247
5255.754,2.659316062927246,0.10390590131282806,19.31358472962234,-2.186895571529785,-0.29325856248608995,1.787573721190815,0.2632807982331159
5255.756,2.659316062927246,0.10390590131282806,19.315295150076615,-2.1874117738321495,-0.292994860328931,1.788226375819142,0.2627619063654066
5255.757,2.659316062927246,0.10390590131282806,19.317006330396644,-2.1879277164845394,-0.2927316759846985,1.7888786331901896,0.26224355366092705
5255.757,2.659316062927246,0.10390590131282806,19.31871826977434,-2.1884433999620896,-0.29246900811964915,1.78953031533816,0.26172651933171287
5255.759,2.659316062927246,0.10390590131282806,19.320430966248587,-2.188958828201391,-0.2922068493583763,1.7901813168158787,0.2612168466479201
5255.76,2.659316062927246,0.10390590131282806,19.322144420105474,-2.189473996758534,-0.29194520293280185,1.7908313685947153,0.26070392879733856
5255.761,2.659316062927246,0.10390590131282806,19.323858630009823,-2.1899889062320717,-0.2916840652138771,1.7914803785824587,0.26019462905173596
5255.762,2.659316062927246,0.10390590131282806,19.325573594515305,-2.1905035570868803,-0.2914234319326096,1.7921282020717266,0.259689589238651
5255.763,2.659316062927246,0.10390590131282806,19.327289312069432,-2.191017949672373,-0.2911632982227579,1.7927747045382838,0.2591894085736891
5255.764,2.659316062927246,0.10390590131282806,19.32900578101915,-2.19153208423922,-0.2909036586646553,1.7934197621181893,0.2586946426045737
5255.765,2.659316062927246,0.10390590131282806,19.33072299961862,-2.192045960949275,-0.29064450733017144,1.794063261735942,0.25820580241747443
5255.766,2.659316062927246,0.10390590131282806,19.332440966038078,-2.1925595798808866,-0.29038583782532795,1.79470510140953,0.2577233537509062
5255.767,2.659316062927246,0.10390590131282806,19.33415967837324,-2.1930729410376317,-0.29012764333819807,1.7953451907258224,0.2572477157091004
5255.768,2.659316062927246,0.10390590131282806,19.335879134655322,-2.193586044357036,-0.2898699166882675,1.7959834510245078,0.2567792594827201
5255.769,2.659316062927246,0.10390590131282806,19.337599332860762,-2.194098889716829,-0.28961265037468575,1.7966198155229067,0.2563183072830197
5255.77,2.659316062927246,0.10390590131282806,19.33932027092171,-2.194611476940554,-0.28935583662419206,1.7972542294847662,0.25586513135768973
5255.771,2.659316062927246,0.10390590131282806,19.341041946736556,-2.1951238058059728,-0.2890994674434894,1.7978866503514328,0.2554199531004995
5255.771,2.659316062927246,0.10390590131282806,19.34276435818065,-2.1956358760528354,-0.28884353467362117,1.7985170475797454,0.25498294267427496
5255.773,2.659316062927246,0.10390590131282806,19.344487503116426,-2.1961476873841907,-0.28858803003491484,1.7991454023736582,0.25455421921983307
5255.773,2.659316062927246,0.10390590131282806,19.34621137940433,-2.1966592394741187,-0.2883329451805561,1.7997717078703253,0.2541338505999342
5255.775,2.659316062927246,0.10390590131282806,19.347935984913462,-2.197170531976621,-0.28807827175232614,1.8003959686796611,0.2537218540095881
5255.776,2.659316062927246,0.10390590131282806,19.34966131753067,-2.1976815645238137,-0.2878240014214759,1.801018200297945,0.25331819728948224
5255.777,2.659316062927246,0.10390590131282806,19.351387375171186,-2.1981923367338627,-0.2875701259408109,1.8016384292931467,0.25292279930724043
5255.778,2.659316062927246,0.10390590131282806,19.353114155788354,-2.1987028482203113,-0.28731663719806866,1.8022566925889907,0.2525355315231303
5255.779,2.659316062927246,0.10390590131282806,19.35484165738129,-2.1992130985876264,-0.2870635272507313,1.802873036636176,0.25215622030978474
5255.78,2.659316062927246,0.10390590131282806,19.35656987800449,-2.1997230874404083,-0.28681078837462654,1.803487517617439,0.25178464778225
5255.781,2.659316062927246,0.10390590131282806,19.358298815776074,-2.2002328143914474,-0.2865584131116918,1.8041002004618756,0.2514205543190991
5255.782,2.659316062927246,0.10390590131282806,19.360028468884046,-2.2007422790563473,-0.28630639429716337,1.804711157911107,0.25106364157477423
5255.783,2.659316062927246,0.10390590131282806,19.36175883559395,-2.201251481063144,-0.28605472510280805,1.8053204706990127,0.25071357370867664
5255.784,2.659316062927246,0.10390590131282806,19.363489914255766,-2.2017604200593373,-0.28580339907676644,1.805928226360582,0.25036998068576904
5255.785,2.659316062927246,0.10390590131282806,19.36522170330773,-2.202269095705627,-0.2855524101618124,1.8065345182418322,0.2500324618099523
5255.786,2.659316062927246,0.10390590131282806,19.36695420128276,-2.2027775076852927,-0.2853017527309511,1.807139445691402,0.24970058712917995
5255.786,2.659316062927246,0.10390590131282806,19.368687406813077,-2.203285655711448,-0.28505142161988545,1.8077431127428516,0.2493739013147895
5255.788,2.659316062927246,0.10390590131282806,19.370421317816902,-2.203793542496202,-0.2848014076807986,1.808345682840556,0.2490563812001966
5255.789,2.659316062927246,0.10390590131282806,19.372155934281135,-2.204301163766961,-0.28455171179790906,1.808947175569857,0.2487379919960794
5255.79,2.659316062927246,0.10390590131282806,19.37389125508984,-2.204808519601911,-0.28430233018486384,1.8095477587696078,0.24842341740098187
5255.791,2.659316062927246,0.10390590131282806,19.375627279252118,-2.2053156100448335,-0.2840532595774763,1.8101475478346083,0.24811212400034924
5255.792,2.659316062927246,0.10390590131282806,19.377364005901107,-2.20582243513033,-0.28380449725649354,1.8107466601503153,0.24780356470101061
5255.793,2.659316062927246,0.10390590131282806,19.379101434292117,-2.2063289949058023,-0.2835560410676556,1.8113452135130312,0.24749718481965602
5255.794,2.659316062927246,0.10390590131282806,19.380839563796044,-2.206835289423688,-0.28330788940305096,1.8119433244778327,0.2471924284686582
5255.795,2.659316062927246,0.10390590131282806,19.38257839389902,-2.2073413187527513,-0.2830600412077601,1.8125411092625312,0.24688873962838304
5255.796,2.659316062927246,0.10390590131282806,19.38431792420041,-2.207847082988029,-0.2828124959833456,1.8131386824198363,0.2465855670170721
5255.797,2.659316062927246,0.10390590131282806,19.386058154408786,-2.2083525822507357,-0.28256525377499025,1.8137361556986467,0.2462823685175543
5255.798,2.659316062927246,0.10390590131282806,19.387799084336336,-2.208857816684947,-0.28231831514960937,1.8143336378816823,0.2459786134387836
